tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_volume	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
16tr007a:LP-DIR-T4	16tr007a:LP-DIR-T	16tr007a		162.6	-16.5	0	0	0	0	4	573.0	0.008128	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	8.128e-08	8.054e-10	1.205e-09	1.986e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T5	16tr007a:LP-DIR-T	16tr007a		162.8	-17.6	0	0	0	0	5	673.0	0.008128	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	8.128e-08	7.927999999999999e-10	1.3220000000000002e-09	1.898e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T6	16tr007a:LP-DIR-T	16tr007a		165.6	-16.4	0	0	0	0	6	773.0	0.007956	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	7.956e-08	9.519e-10	1.121e-09	2.308e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T7	16tr007a:LP-DIR-T	16tr007a		166.7	-16.4	0	0	0	0	7	823.0	0.007711	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	7.711000000000001e-08	8.495e-10	1.285e-09	2.444e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T8	16tr007a:LP-DIR-T	16tr007a		161.6	-15.9	0	0	0	0	8	848.0	0.007626000000000002	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	7.626000000000001e-08	8.187e-10	1.066e-09	2.459e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T9	16tr007a:LP-DIR-T	16tr007a		159.7	-16.2	0	0	0	0	9	873.0	0.007361	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	7.361000000000001e-08	7.852999999999999e-10	1.105e-09	2.1e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T10	16tr007a:LP-DIR-T	16tr007a		160.7	-15.6	0	0	0	0	10	888.0	0.007174	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	7.173999999999999e-08	7.176000000000001e-10	1.003e-09	2.374e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T11	16tr007a:LP-DIR-T	16tr007a		162.8	-13.4	0	0	0	0	11	903.0	0.007201999999999998	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	7.202e-08	5.64e-10	9.936e-10	2.184e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T12	16tr007a:LP-DIR-T	16tr007a		161.1	-14.4	0	0	0	0	12	913.0	0.007033	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	7.033e-08	6.597e-10	9.458e-10	2.066e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T13	16tr007a:LP-DIR-T	16tr007a		155.9	-10.7	0	0	0	0	13	923.0	0.006759	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	6.759e-08	6.216e-10	8.548e-10	1.933e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T14	16tr007a:LP-DIR-T	16tr007a		154.0	-13.5	0	0	0	0	14	930.0	0.006670999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	6.671e-08	6.548e-10	9.46e-10	2.035e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T15	16tr007a:LP-DIR-T	16tr007a		162.4	-11.4	0	0	0	0	15	933.0	0.006403	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	6.403e-08	4.487e-10	8.774999999999998e-10	1.384e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T16	16tr007a:LP-DIR-T	16tr007a		162.9	-13.2	0	0	0	0	16	936.0	0.00547	This study	2G	LT-T-Z:LP-DIR-T	g	15	u	4.0	273.0			pmagpy-3.18.0	5.47e-08	6.167000000000001e-10	9.504e-10	1.341e-09	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T17	16tr007a:LP-DIR-T	16tr007a		167.2	-17.5	0	0	0	0	17	939.0	0.002851	This study	2G	LT-T-Z:LP-DIR-T	g	16	u	4.0	273.0			pmagpy-3.18.0	2.8510000000000005e-08	5.077999999999999e-10	6.129e-10	7.653e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T18	16tr007a:LP-DIR-T	16tr007a		79.5	-13.1	0	0	0	0	18	942.0	0.0009766	This study	2G	LT-T-Z:LP-DIR-T	g	17	u	4.0	273.0			pmagpy-3.18.0	9.766e-09	4.958999999999999e-10	4.683e-10	2.542e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T19	16tr007a:LP-DIR-T	16tr007a		74.9	-19.6	0	0	0	0	19	945.0	0.0007892999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	18	u	4.0	273.0			pmagpy-3.18.0	7.893e-09	4.513e-10	4.59e-10	1.712e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T20	16tr007a:LP-DIR-T	16tr007a		228.2	-6.3	0	0	0	0	20	948.0	0.0006115000000000001	This study	2G	LT-T-Z:LP-DIR-T	g	19	u	4.0	273.0			pmagpy-3.18.0	6.1150000000000005e-09	5.33e-10	5.098e-10	1.412e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T21	16tr007a:LP-DIR-T	16tr007a		84.4	-13.2	0	0	0	0	21	951.0	0.0007852	This study	2G	LT-T-Z:LP-DIR-T	g	20	u	4.0	273.0			pmagpy-3.18.0	7.852e-09	3.711e-10	4.607e-10	1.824e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T22	16tr007a:LP-DIR-T	16tr007a		31.1	-5.6	0	0	0	0	22	954.0	0.0006559000000000001	This study	2G	LT-T-Z:LP-DIR-T	g	21	u	4.0	273.0			pmagpy-3.18.0	6.559e-09	4.183e-10	3.743e-10	1.285e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T23	16tr007a:LP-DIR-T	16tr007a		201.9	-28.5	0	0	0	0	23	957.0	0.0003915	This study	2G	LT-T-Z:LP-DIR-T	g	22	u	4.0	273.0			pmagpy-3.18.0	3.915e-09	4.131e-10	3.3710000000000006e-10	1.399e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T24	16tr007a:LP-DIR-T	16tr007a		182.7	-15.6	0	0	0	0	24	960.0	0.000715	This study	2G	LT-T-Z:LP-DIR-T	g	23	u	4.0	273.0			pmagpy-3.18.0	7.15e-09	3.412e-10	3.884e-10	2.269e-10	16tr007a	16tr007	unknown
16tr007a:LP-DIR-T25	16tr007a:LP-DIR-T	16tr007a		44.6	-3.6	0	0	0	0	25	963.0	0.0006562	This study	2G	LT-T-Z:LP-DIR-T	g	24	u	4.0	273.0			pmagpy-3.18.0	6.562e-09	3.115e-10	3.654e-10	1.2759999999999998e-10	16tr007a	16tr007	unknown
16tr007c:LP-DIR-T1	16tr007c:LP-DIR-T	16tr007c		152.3	8.4	0	0	0	0	1	273.0	0.04698	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	4.698e-07	6.8689999999999985e-09	8.783e-09	1.346e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T2	16tr007c:LP-DIR-T	16tr007c		146.1	7.2	0	0	0	0	2	353.0	0.04613	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	4.613e-07	6.6920000000000005e-09	8.158999999999999e-09	1.446e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T3	16tr007c:LP-DIR-T	16tr007c		146.6	7.0	0	0	0	0	3	473.0	0.04642	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	4.642e-07	7.116e-09	8.594e-09	1.409e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T4	16tr007c:LP-DIR-T	16tr007c		144.7	7.5	0	0	0	0	4	573.0	0.04576	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	4.576e-07	7.692e-09	7.989000000000001e-09	1.413e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T5	16tr007c:LP-DIR-T	16tr007c		147.9	8.8	0	0	0	0	5	673.0	0.04644	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	4.644e-07	6.294e-09	8.134e-09	1.179e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T6	16tr007c:LP-DIR-T	16tr007c		149.9	5.9	0	0	0	0	6	773.0	0.04534	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	4.534e-07	7.226e-09	8.084e-09	1.5909999999999998e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T7	16tr007c:LP-DIR-T	16tr007c		149.5	7.5	0	0	0	0	7	823.0	0.04488	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	4.488000000000001e-07	7.2050000000000015e-09	7.812e-09	1.486e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T8	16tr007c:LP-DIR-T	16tr007c		145.8	8.1	0	0	0	0	8	848.0	0.04533	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	4.533e-07	8.014e-09	8.373e-09	1.33e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T9	16tr007c:LP-DIR-T	16tr007c		142.7	7.5	0	0	0	0	9	873.0	0.04349	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	4.349e-07	6.645e-09	8.107999999999999e-09	1.236e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T10	16tr007c:LP-DIR-T	16tr007c		144.4	7.5	0	0	0	0	10	888.0	0.04328	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	4.328e-07	8.155e-09	8.336e-09	1.3730000000000003e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T11	16tr007c:LP-DIR-T	16tr007c		146.3	6.7	0	0	0	0	11	903.0	0.04183	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	4.183e-07	7.082e-09	8.398e-09	1.396e-08	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T12	16tr007c:LP-DIR-T	16tr007c		143.7	9.6	0	0	0	0	12	913.0	0.04169	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	4.169e-07	5.526e-09	7.409e-09	8.207e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T13	16tr007c:LP-DIR-T	16tr007c		140.8	9.9	0	0	0	0	13	923.0	0.040760000000000005	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	4.076e-07	6.056000000000001e-09	7.554999999999999e-09	9.279e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T14	16tr007c:LP-DIR-T	16tr007c		142.0	8.9	0	0	0	0	14	930.0	0.04011	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	4.011e-07	6.028e-09	7.624999999999999e-09	8.259e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T15	16tr007c:LP-DIR-T	16tr007c		140.9	9.3	0	0	0	0	15	933.0	0.03781	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	3.781e-07	5.354e-09	7.281999999999999e-09	5.893e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T16	16tr007c:LP-DIR-T	16tr007c		141.1	6.8	0	0	0	0	16	936.0	0.02719	This study	2G	LT-T-Z:LP-DIR-T	g	15	u	4.0	273.0			pmagpy-3.18.0	2.719e-07	4.275e-09	5.487e-09	6.877e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T17	16tr007c:LP-DIR-T	16tr007c		144.5	4.8	0	0	0	0	17	939.0	0.01067	This study	2G	LT-T-Z:LP-DIR-T	g	16	u	4.0	273.0			pmagpy-3.18.0	1.067e-07	1.968e-09	2.388e-09	3.197e-09	16tr007c	16tr007	unknown
16tr007c:LP-DIR-T18	16tr007c:LP-DIR-T	16tr007c		149.5	6.4	0	0	0	0	18	942.0	0.003207	This study	2G	LT-T-Z:LP-DIR-T	g	17	u	4.0	273.0			pmagpy-3.18.0	3.2069999999999995e-08	7.812999999999999e-10	1.024e-09	7.095e-10	16tr007c	16tr007	unknown
16tr007d:LP-DIR-T1	16tr007d:LP-DIR-T	16tr007d		164.0	-22.1	0	0	0	0	1	273.0	0.01845	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	1.845e-07	3.538e-09	2.932e-09	6.29e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T2	16tr007d:LP-DIR-T	16tr007d		158.1	-21.6	0	0	0	0	2	353.0	0.01778	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	1.7780000000000004e-07	4.45e-09	3.257e-09	6.846e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T3	16tr007d:LP-DIR-T	16tr007d		158.4	-22.1	0	0	0	0	3	473.0	0.01836	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	1.836e-07	3.86e-09	2.986e-09	6.048e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T4	16tr007d:LP-DIR-T	16tr007d		159.7	-22.3	0	0	0	0	4	573.0	0.0184	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	1.84e-07	3.467e-09	3.618e-09	4.941e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T5	16tr007d:LP-DIR-T	16tr007d		157.7	-21.2	0	0	0	0	5	673.0	0.01829	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	1.829e-07	3.322e-09	3.349e-09	4.882e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T6	16tr007d:LP-DIR-T	16tr007d		160.0	-22.1	0	0	0	0	6	773.0	0.01762	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	1.762e-07	4.229e-09	3.107e-09	6.326000000000001e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T7	16tr007d:LP-DIR-T	16tr007d		161.2	-21.9	0	0	0	0	7	823.0	0.0173	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	1.73e-07	4.242e-09	2.968e-09	6.274999999999999e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T8	16tr007d:LP-DIR-T	16tr007d		155.9	-21.8	0	0	0	0	8	848.0	0.01715	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	1.715e-07	4.003e-09	2.694e-09	6.506999999999999e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T9	16tr007d:LP-DIR-T	16tr007d		155.1	-22.2	0	0	0	0	9	873.0	0.01644	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	1.6440000000000002e-07	3.636e-09	3.11e-09	5.641000000000001e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T10	16tr007d:LP-DIR-T	16tr007d		156.3	-22.1	0	0	0	0	10	888.0	0.0163	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	1.6300000000000002e-07	3.205e-09	2.6899999999999996e-09	5.402e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T11	16tr007d:LP-DIR-T	16tr007d		156.9	-20.6	0	0	0	0	11	903.0	0.01577	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	1.577e-07	2.874e-09	2.523e-09	5.382e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T12	16tr007d:LP-DIR-T	16tr007d		154.5	-21.4	0	0	0	0	12	913.0	0.015369999999999997	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	1.5369999999999998e-07	2.8110000000000003e-09	2.024e-09	4.757e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T13	16tr007d:LP-DIR-T	16tr007d		150.5	-19.6	0	0	0	0	13	923.0	0.01497	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	1.497e-07	2.371e-09	1.683e-09	3.816e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T14	16tr007d:LP-DIR-T	16tr007d		150.1	-18.7	0	0	0	0	14	930.0	0.01295	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	1.295e-07	2.084e-09	1.3969999999999998e-09	3.718e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T15	16tr007d:LP-DIR-T	16tr007d		146.5	-22.3	0	0	0	0	15	933.0	0.009673	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	9.673e-08	1.3300000000000002e-09	9.975e-10	2.284e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T16	16tr007d:LP-DIR-T	16tr007d		157.7	-20.6	0	0	0	0	16	936.0	0.003948	This study	2G	LT-T-Z:LP-DIR-T	g	15	u	4.0	273.0			pmagpy-3.18.0	3.948e-08	9.244e-10	6.797e-10	1.185e-09	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T17	16tr007d:LP-DIR-T	16tr007d		197.7	-15.5	0	0	0	0	17	939.0	0.001075	This study	2G	LT-T-Z:LP-DIR-T	g	16	u	4.0	273.0			pmagpy-3.18.0	1.075e-08	1.144e-09	8.732999999999998e-10	3.2310000000000005e-10	16tr007d	16tr007	unknown
16tr007d:LP-DIR-T18	16tr007d:LP-DIR-T	16tr007d		36.8	-10.7	0	0	0	0	18	942.0	0.001232	This study	2G	LT-T-Z:LP-DIR-T	g	17	u	4.0	273.0			pmagpy-3.18.0	1.232e-08	8.465e-10	8.505999999999998e-10	3.41e-10	16tr007d	16tr007	unknown
16tr007g:LP-DIR-T1	16tr007g:LP-DIR-T	16tr007g		184.1	18.7	0	0	0	0	1	273.0	0.01092	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	1.092e-07	2.029e-09	2.12e-09	2.591e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T2	16tr007g:LP-DIR-T	16tr007g		176.7	16.6	0	0	0	0	2	353.0	0.01031	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	1.031e-07	2.113e-09	2.346e-09	2.948e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T3	16tr007g:LP-DIR-T	16tr007g		177.2	16.3	0	0	0	0	3	473.0	0.01042	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	1.042e-07	2.143e-09	2.243e-09	2.8460000000000003e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T4	16tr007g:LP-DIR-T	16tr007g		181.6	14.7	0	0	0	0	4	573.0	0.01042	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	1.042e-07	1.671e-09	2.173e-09	2.356e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T5	16tr007g:LP-DIR-T	16tr007g		179.8	15.4	0	0	0	0	5	673.0	0.01021	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	1.021e-07	1.858e-09	2.1600000000000004e-09	2.6090000000000004e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T6	16tr007g:LP-DIR-T	16tr007g	1.3	180.0	16.7	0	0	0	0	6	773.0	0.009976	This study	2G	LT-T-Z:DE-VM:LP-DIR-T	g	5	u	2.0	273.0		average of multiple measurements	pmagpy-3.18.0	9.709e-08	2.129e-09	2.515e-09	3.228e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T7	16tr007g:LP-DIR-T	16tr007g		179.9	16.5	0	0	0	0	7	823.0	0.009663	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	9.663e-08	2.222e-09	2.296e-09	3.03e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T8	16tr007g:LP-DIR-T	16tr007g		175.6	17.2	0	0	0	0	8	848.0	0.009641	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	9.641e-08	2.2620000000000003e-09	2.235e-09	2.819e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T9	16tr007g:LP-DIR-T	16tr007g		174.3	16.8	0	0	0	0	9	873.0	0.009178	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	9.178e-08	1.734e-09	2.129e-09	2.408e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T10	16tr007g:LP-DIR-T	16tr007g		175.0	17.6	0	0	0	0	10	888.0	0.009068	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	9.068e-08	1.975e-09	2.042e-09	2.248e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T11	16tr007g:LP-DIR-T	16tr007g		175.9	16.6	0	0	0	0	11	903.0	0.008838	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	8.837999999999997e-08	1.984e-09	2.414e-09	2.428e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T12	16tr007g:LP-DIR-T	16tr007g		173.7	18.9	0	0	0	0	12	913.0	0.007988	This study	2G	LT-T-Z:LP-DIR-T	g	11	u	4.0	273.0			pmagpy-3.18.0	7.988e-08	1.707e-09	1.766e-09	1.724e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T13	16tr007g:LP-DIR-T	16tr007g		171.4	19.5	0	0	0	0	13	923.0	0.007906999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	12	u	4.0	273.0			pmagpy-3.18.0	7.907e-08	1.545e-09	1.758e-09	1.3900000000000002e-09	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T14	16tr007g:LP-DIR-T	16tr007g		175.1	20.8	0	0	0	0	14	930.0	0.002879	This study	2G	LT-T-Z:LP-DIR-T	g	13	u	4.0	273.0			pmagpy-3.18.0	2.8789999999999995e-08	9.369e-10	1.127e-09	5.464999999999999e-10	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T15	16tr007g:LP-DIR-T	16tr007g		166.4	28.9	0	0	0	0	15	933.0	0.0017809999999999996	This study	2G	LT-T-Z:LP-DIR-T	g	14	u	4.0	273.0			pmagpy-3.18.0	1.781e-08	9.377e-10	9.382e-10	3.1160000000000004e-10	16tr007g	16tr007	unknown
16tr007g:LP-DIR-T16	16tr007g:LP-DIR-T	16tr007g		139.5	-5.1	0	0	0	0	16	936.0	0.00033360000000000003	This study	2G	LT-T-Z:LP-DIR-T	g	15	u	4.0	273.0			pmagpy-3.18.0	3.336e-09	6.562999999999999e-10	7.244e-10	2.5889999999999995e-10	16tr007g	16tr007	unknown
16tr007i:LP-DIR-T1	16tr007i:LP-DIR-T	16tr007i		187.6	-4.5	0	0	0	0	1	273.0	0.01056	This study	2G	LT-NO:LP-DIR-T	g	0	u	4.0	273.0			pmagpy-3.18.0	1.056e-07	7.547000000000001e-10	1.807e-09	3.366e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T2	16tr007i:LP-DIR-T	16tr007i		179.7	-6.5	0	0	0	0	2	353.0	0.01007	This study	2G	LT-T-Z:LP-DIR-T	g	1	u	4.0	273.0			pmagpy-3.18.0	1.007e-07	8.356e-10	1.669e-09	3.73e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T3	16tr007i:LP-DIR-T	16tr007i		179.7	-6.2	0	0	0	0	3	473.0	0.01016	This study	2G	LT-T-Z:LP-DIR-T	g	2	u	4.0	273.0			pmagpy-3.18.0	1.016e-07	7.278e-10	1.719e-09	3.763e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T4	16tr007i:LP-DIR-T	16tr007i		181.3	-6.9	0	0	0	0	4	573.0	0.01027	This study	2G	LT-T-Z:LP-DIR-T	g	3	u	4.0	273.0			pmagpy-3.18.0	1.027e-07	7.057999999999999e-10	1.809e-09	2.943e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T5	16tr007i:LP-DIR-T	16tr007i		179.2	-6.2	0	0	0	0	5	673.0	0.01014	This study	2G	LT-T-Z:LP-DIR-T	g	4	u	4.0	273.0			pmagpy-3.18.0	1.014e-07	6.293999999999999e-10	1.578e-09	3.355e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T6	16tr007i:LP-DIR-T	16tr007i		182.2	-6.5	0	0	0	0	6	773.0	0.009854	This study	2G	LT-T-Z:LP-DIR-T	g	5	u	4.0	273.0			pmagpy-3.18.0	9.854e-08	7.610000000000001e-10	1.703e-09	3.554e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T7	16tr007i:LP-DIR-T	16tr007i		181.7	-5.8	0	0	0	0	7	823.0	0.00956	This study	2G	LT-T-Z:LP-DIR-T	g	6	u	4.0	273.0			pmagpy-3.18.0	9.56e-08	8.437e-10	1.509e-09	3.5160000000000007e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T8	16tr007i:LP-DIR-T	16tr007i		175.9	-6.0	0	0	0	0	8	848.0	0.009522	This study	2G	LT-T-Z:LP-DIR-T	g	7	u	4.0	273.0			pmagpy-3.18.0	9.522e-08	7.042000000000001e-10	1.5890000000000002e-09	3.355e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T9	16tr007i:LP-DIR-T	16tr007i		173.2	-6.7	0	0	0	0	9	873.0	0.008906	This study	2G	LT-T-Z:LP-DIR-T	g	8	u	4.0	273.0			pmagpy-3.18.0	8.906e-08	5.021000000000001e-10	1.4299999999999998e-09	3.0930000000000004e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T10	16tr007i:LP-DIR-T	16tr007i		176.1	-4.8	0	0	0	0	10	888.0	0.008971999999999999	This study	2G	LT-T-Z:LP-DIR-T	g	9	u	4.0	273.0			pmagpy-3.18.0	8.972000000000003e-08	8.221000000000001e-10	1.728e-09	3.204e-09	16tr007i	16tr007	unknown
16tr007i:LP-DIR-T11	16tr007i:LP-DIR-T	16tr007i		174.6	-5.5	0	0	0	0	11	903.0	0.008463	This study	2G	LT-T-Z:LP-DIR-T	g	10	u	4.0	273.0			pmagpy-3.18.0	8.463e-08	9.1e-10	1.7230000000000004e-09	2.95e-09	16tr007i	16tr007	unknown
