tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-15 12:19:19	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T28	4.8	157.8	None	g	22.5	4.33e-09	28	8	1.1e-10	3.52e-10	1.0500000000000001e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-16 19:13:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T29	2.6	159.1	None	g	9.9	2.2899999999999997e-09	29	8	5.879999999999999e-11	6.15e-11	8.39e-11	u	273	0	0	0.0	0.0	947.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-19 21:27:59	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T30	4.5	149.1	None	g	16.4	1.31e-09	30	8	4.85e-11	4.21e-11	8.709999999999999e-11	u	273	0	0	0.0	0.0	949.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-22 22:17:30	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T31	6.1	164.4	None	b	14.1	1.2e-09	31	8	6.370000000000001e-11	6.470000000000001e-11	9.690000000000001e-11	u	273	0	0	0.0	0.0	951.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-24 10:54:31	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T32	5.7	163.3	None	g	14.7	1.21e-09	32	8	5.64e-11	5.33e-11	9.54e-11	u	273	0	0	0.0	0.0	951.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-24 19:59:17	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T33	9.5	174.8	None	g	-0.5	5.86e-10	33	8	4.0000000000000004e-11	5.49e-11	8.049999999999999e-11	u	273	0	0	0.0	0.0	953.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-25 09:27:24	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T34	10.3	173.7	None	b	-2.0	5.539999999999999e-10	34	8	2.99e-11	4.54e-11	8.89e-11	u	273	0	0	0.0	0.0	953.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-09-26 13:45:45	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T35	6.4	195.1	None	b	10.7	1.0499999999999999e-09	35	8	2.89e-11	4.01e-11	1.12e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-10-01 13:56:20	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T36	5.8	214.7	None	b	13.1	1.23e-09	36	8	3.13e-11	4.57e-11	1.17e-10	u	273	0	0	0.0	0.0	957.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-10-02 14:02:31	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T37	9.1	195.4	None	b	-2.7	9.83e-10	37	8	2.99e-11	8.449999999999999e-11	1.32e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-10-02 16:14:54	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T38	7.5	196.4	None	b	-2.7	9.83e-10	38	8	3.3e-11	6.26e-11	1.13e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-10-02 17:40:06	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T39	8.1	195.8	None	b	-2.5	9.89e-10	39	8	1.92e-11	4.85e-11	1.31e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-R	TR004	TR004-Ra	TR004-Ra:LP-DIR-T	hargrave 2017-10-03 17:00:36	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ra:LP-DIR-T40	6.4	139.1	None	b	16.3	5.5e-10	40	8	2.2100000000000003e-11	2.87e-11	6.05e-11	u	273	0	0	0.0	0.0	961.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-07-20 11:41:55	LT-NO:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T1	2.2	125.8	None	g	43.4	2.63e-08	1	8	7.030000000000001e-10	7.3e-10	4.4699999999999996e-10	u	273	0	0	0.0	0.0	273.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-07-21 13:07:53	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T2	3.2	128.3	None	g	40.9	2.46e-08	2	8	1.11e-09	8.12e-10	3.8100000000000003e-10	u	273	0	0	0.0	0.0	373.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-07-24 08:34:44	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T3	4.2	133.0	None	g	38.1	2.14e-08	3	8	1.27e-09	9.35e-10	3.95e-10	u	273	0	0	0.0	0.0	473.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-07-24 16:29:51	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T4	3.1	133.0	None	g	37.5	2.0299999999999996e-08	4	8	8.42e-10	6.25e-10	3.6799999999999997e-10	u	273	0	0	0.0	0.0	573.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-07-31 12:06:04	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T5	2.7	134.9	None	g	36.9	2e-08	5	8	6.700000000000001e-10	6.1e-10	2.6000000000000003e-10	u	273	0	0	0.0	0.0	623.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-01 10:30:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T6	2.1	136.3	None	g	37.0	1.92e-08	6	8	4.53e-10	5.16e-10	2.58e-10	u	273	0	0	0.0	0.0	673.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-02 10:00:17	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T7	2.2	137.2	None	g	38.3	1.8300000000000002e-08	7	8	2.83e-10	5.73e-10	3.6600000000000003e-10	u	273	0	0	0.0	0.0	723.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-03 16:55:57	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T8	2.0	136.5	None	g	37.8	1.79e-08	8	8	3.67e-10	4.979999999999999e-10	2.6100000000000003e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-04 13:33:20	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T9	1.6	138.9	None	g	38.6	1.73e-08	9	8	3.23e-10	2.81e-10	2.5e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-07 10:23:19	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T10	2.1	139.7	None	g	38.0	1.7e-08	10	8	4.5400000000000003e-10	3.92e-10	2.6000000000000003e-10	u	273	0	0	0.0	0.0	798.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-08 09:36:47	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T11	2.0	141.7	None	g	38.2	1.6100000000000002e-08	11	8	3.61e-10	3.9e-10	2.56e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-09 09:35:06	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T12	1.4	143.4	None	g	37.8	1.6100000000000002e-08	12	8	2.2e-10	3.39e-10	1.36e-10	u	273	0	0	0.0	0.0	828.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-16 10:54:59	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T13	1.9	139.9	None	g	37.8	1.56e-08	13	8	3.6400000000000004e-10	3.51e-10	2.02e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-16 19:17:25	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T14	3.4	142.7	None	g	38.0	1.55e-08	14	8	6.42e-10	6.54e-10	2.33e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-17 15:58:04	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T15	2.6	139.9	None	g	38.4	1.51e-08	15	8	5.16e-10	4.2999999999999996e-10	2.21e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-18 11:40:35	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T16	2.8	141.5	None	g	39.0	1.49e-08	16	8	5.26e-10	4.87e-10	2.23e-10	u	273	0	0	0.0	0.0	848.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-21 08:55:34	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T17	2.3	140.8	None	g	39.3	1.47e-08	17	8	4.44e-10	3.57e-10	2.23e-10	u	273	0	0	0.0	0.0	853.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-21 17:44:33	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T18	3.0	142.7	None	g	38.6	1.42e-08	18	8	5.23e-10	4.880000000000001e-10	2.23e-10	u	273	0	0	0.0	0.0	873.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-22 16:44:50	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T19	2.5	141.1	None	g	38.0	1.3899999999999999e-08	19	8	4.5600000000000003e-10	3.83e-10	2.3e-10	u	273	0	0	0.0	0.0	893.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-23 15:45:47	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T20	3.5	140.1	None	g	38.2	1.3400000000000001e-08	20	8	5.76e-10	5.52e-10	2.17e-10	u	273	0	0	0.0	0.0	903.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-24 12:26:37	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T21	2.9	139.5	None	g	38.2	1.31e-08	21	8	4.77e-10	4.3700000000000004e-10	2.0799999999999998e-10	u	273	0	0	0.0	0.0	913.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-25 08:46:14	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T22	3.9	140.6	None	g	38.6	1.28e-08	22	8	5.11e-10	6.809999999999999e-10	2.26e-10	u	273	0	0	0.0	0.0	918.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-29 11:34:58	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T23	3.6	139.1	None	g	36.3	1.27e-08	23	8	6.05e-10	5.05e-10	2.54e-10	u	273	0	0	0.0	0.0	923.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-08-30 08:14:09	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T24	1.5	139.3	None	g	38.0	1.1299999999999999e-08	24	8	1.74e-10	1.8499999999999998e-10	1.8599999999999998e-10	u	273	0	0	0.0	0.0	928.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-01 21:30:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T25	5.0	136.7	None	g	35.9	9.41e-09	25	8	5.89e-10	5.599999999999999e-10	1.65e-10	u	273	0	0	0.0	0.0	933.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-10 13:55:01	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T26	2.4	147.9	None	g	39.5	8.23e-09	26	8	2.4400000000000004e-10	1.95e-10	1.8300000000000001e-10	u	273	0	0	0.0	0.0	938.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-12 20:08:10	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T27	4.2	89.1	None	g	35.3	1.99e-09	27	8	1.2e-10	5.32e-11	1.3000000000000002e-10	u	273	0	0	0.0	0.0	943.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-15 12:20:46	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T28	6.0	142.2	None	g	74.7	9.49e-10	28	8	5.24e-11	7.55e-11	1.67e-10	u	273	0	0	0.0	0.0	945.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-16 19:14:35	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T29	8.3	194.3	None	b	30.1	9.98e-10	29	8	3.4e-11	5.94e-11	1.3999999999999998e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-19 09:16:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T30	8.5	200.5	None	b	31.1	1.06e-09	30	8	3.9100000000000006e-11	4.62e-11	1.5699999999999997e-10	u	273	0	0	0.0	0.0	947.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-19 21:29:27	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T31	8.0	278.2	None	b	24.6	9.73e-10	31	8	6.28e-11	3.81e-11	1.21e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-22 11:46:11	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T32	5.4	284.4	None	b	25.1	1.11e-09	32	8	2.8e-11	3.9299999999999996e-11	1.1e-10	u	273	0	0	0.0	0.0	949.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-22 22:18:58	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T33	7.5	146.8	None	b	-1.3	9.82e-10	33	8	3.83e-11	4.61e-11	1.2e-10	u	273	0	0	0.0	0.0	951.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-24 10:55:59	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T34	6.9	146.2	None	b	-0.6	1.0400000000000001e-09	34	8	2.56e-11	4.1200000000000004e-11	1.19e-10	u	273	0	0	0.0	0.0	951.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-24 20:02:22	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T35	20.6	152.2	None	b	-50.8	2.23e-10	35	8	3.81e-11	4.45e-11	8.37e-11	u	273	0	0	0.0	0.0	953.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-25 09:30:39	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T36	19.3	150.4	None	b	-56.4	2.0799999999999998e-10	36	8	3.0999999999999996e-11	3.68e-11	8.640000000000001e-11	u	273	0	0	0.0	0.0	953.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-26 13:47:18	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T37	12.9	169.5	None	b	-3.3	8.08e-10	37	8	2.31e-11	4.26e-11	1.8100000000000002e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-09-26 15:48:49	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T38	12.5	167.8	None	b	-5.2	8.17e-10	38	8	2.56e-11	3.5399999999999995e-11	1.8000000000000002e-10	u	273	0	0	0.0	0.0	955.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-01 13:57:45	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T39	6.2	240.4	None	b	10.0	1.13e-09	39	8	3.65e-11	4.57e-11	1.12e-10	u	273	0	0	0.0	0.0	957.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-02 14:03:56	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T40	15.7	172.5	None	b	2.7	4.92e-10	40	8	3.8899999999999996e-11	5.5899999999999996e-11	1.28e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-02 16:16:19	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T41	13.9	172.3	None	b	3.5	4.71e-10	41	8	3.22e-11	2.93e-11	1.1400000000000001e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-02 17:41:32	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T42	15.8	173.3	None	b	3.2	4.82e-10	42	8	2.62e-11	3.36e-11	1.32e-10	u	273	0	0	0.0	0.0	959.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-03 17:02:02	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T43	7.9	304.0	None	b	14.9	9.189999999999999e-10	43	8	2.81e-11	3.43e-11	1.27e-10	u	273	0	0	0.0	0.0	961.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-05 08:17:48	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T44	9.0	304.5	None	b	15.9	9.2e-10	44	8	4.3799999999999994e-11	4.3e-11	1.3899999999999999e-10	u	273	0	0	0.0	0.0	961.0
None	This study	Mamagou	TR004-S	TR004	TR004-Sa	TR004-Sa:LP-DIR-T	hargrave 2017-10-05 10:18:56	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Sa:LP-DIR-T45	8.9	304.0	None	b	15.5	9.21e-10	45	8	3.83e-11	4.7400000000000006e-11	1.42e-10	u	273	0	0	0.0	0.0	961.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-07-20 11:43:25	LT-NO:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T1	3.9	118.6	None	g	26.1	1.91e-08	1	8	1.09e-09	7.099999999999999e-10	4.1799999999999995e-10	u	273	0	0	0.0	0.0	273.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-07-21 13:09:10	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T2	3.8	124.5	None	g	28.7	1.8300000000000002e-08	2	8	9.81e-10	6.83e-10	4.19e-10	u	273	0	0	0.0	0.0	373.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-07-24 08:36:01	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T3	4.7	127.2	None	g	30.0	1.58e-08	3	8	1.09e-09	6.93e-10	3.69e-10	u	273	0	0	0.0	0.0	473.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-07-24 16:31:08	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T4	3.1	129.1	None	g	28.9	1.47e-08	4	8	5.24e-10	4.5e-10	4.38e-10	u	273	0	0	0.0	0.0	573.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-07-31 12:07:45	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T5	2.6	129.7	None	g	29.2	1.42e-08	5	8	4.51e-10	3.07e-10	4.17e-10	u	273	0	0	0.0	0.0	623.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-01 10:32:19	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T6	2.0	132.1	None	g	30.9	1.37e-08	6	8	3.15e-10	3.21e-10	2.25e-10	u	273	0	0	0.0	0.0	673.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-02 10:01:34	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T7	2.2	134.9	None	g	32.3	1.24e-08	7	8	1.5800000000000002e-10	4.63e-10	2.3e-10	u	273	0	0	0.0	0.0	723.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-03 16:57:20	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T8	1.8	131.8	None	g	30.7	1.23e-08	8	8	2.53e-10	1.56e-10	2.83e-10	u	273	0	0	0.0	0.0	748.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-04 13:34:41	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T9	1.7	140.2	None	g	31.0	1.1499999999999999e-08	9	8	2.2700000000000002e-10	1.9099999999999999e-10	2.19e-10	u	273	0	0	0.0	0.0	773.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-07 10:24:55	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T10	3.3	132.2	None	g	29.3	1.1699999999999999e-08	10	8	4.59e-10	4.55e-10	2.69e-10	u	273	0	0	0.0	0.0	798.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-08 09:38:24	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T11	1.7	143.1	None	g	32.2	9.93e-09	11	8	1.96e-10	2.12e-10	1.4699999999999998e-10	u	273	0	0	0.0	0.0	823.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-09 09:36:40	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T12	2.2	148.0	None	g	33.8	9.78e-09	12	8	1.53e-10	3.88e-10	5.65e-11	u	273	0	0	0.0	0.0	828.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-16 10:56:35	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T13	2.2	136.5	None	g	38.4	8.71e-09	13	8	2.25e-10	2.2800000000000001e-10	1.5800000000000002e-10	u	273	0	0	0.0	0.0	833.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-16 19:19:01	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T14	2.8	142.9	None	g	27.1	9.740000000000002e-09	14	8	2.59e-10	3.9100000000000005e-10	1.94e-10	u	273	0	0	0.0	0.0	838.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-17 15:59:42	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T15	2.6	149.5	None	g	33.9	8.72e-09	15	8	2.16e-10	2.84e-10	1.99e-10	u	273	0	0	0.0	0.0	843.0
None	This study	Mamagou	TR004-T	TR004	TR004-Ta	TR004-Ta:LP-DIR-T	hargrave 2017-08-18 11:42:12	LT-T-Z:LP-DIR-T	pmagpy-3.11.1	TR004-Ta:LP-DIR-T16	3.6	149.8	None	g	32.0	9.2e-09	16	8	3e-10	4.82e-10	1.72e-10	u	273	0	0	0.0	0.0	848.0
