tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	magn_moment	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
TR035-Ia:LP-DIR-T12	TR035-Ia:LP-DIR-T	TR035-Ia	1.7	166.5	47.1	0	0	0.0	0.0	12	828.0	6.07e-09	This study	hargrave 2017-10-28 17:59:35	LT-T-Z:LP-DIR-T	g	654	u	8	273			pmagpy-3.16.0	2.17e-10	1.01e-10	2.23e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T13	TR035-Ia:LP-DIR-T	TR035-Ia	3.8	173.8	47.5	0	0	0.0	0.0	13	833.0	5.749999999999999e-09	This study	hargrave 2017-11-03 14:35:38	LT-T-Z:LP-DIR-T	g	655	u	8	273			pmagpy-3.16.0	1.5e-10	3.22e-10	2.04e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T14	TR035-Ia:LP-DIR-T	TR035-Ia	3.9	171.2	49.1	0	0	0.0	0.0	14	838.0	5.53e-09	This study	hargrave 2017-11-05 13:28:33	LT-T-Z:LP-DIR-T	g	656	u	8	273			pmagpy-3.16.0	1.54e-10	3.1e-10	2.24e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T15	TR035-Ia:LP-DIR-T	TR035-Ia	2.4	174.5	50.7	0	0	0.0	0.0	15	843.0	5.43e-09	This study	hargrave 2017-11-09 11:01:45	LT-T-Z:LP-DIR-T	g	657	u	8	273			pmagpy-3.16.0	1.3999999999999998e-10	1.32e-10	1.91e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T16	TR035-Ia:LP-DIR-T	TR035-Ia	2.5	171.9	50.8	0	0	0.0	0.0	16	848.0	5.24e-09	This study	hargrave 2017-11-09 19:54:30	LT-T-Z:LP-DIR-T	g	658	u	8	273			pmagpy-3.16.0	1.64e-10	1.49e-10	1.52e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T17	TR035-Ia:LP-DIR-T	TR035-Ia	3.1	175.0	52.4	0	0	0.0	0.0	17	853.0	5.07e-09	This study	hargrave 2017-11-14 15:38:35	LT-T-Z:LP-DIR-T	g	659	u	8	273			pmagpy-3.16.0	1.4500000000000002e-10	1.83e-10	2.08e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T18	TR035-Ia:LP-DIR-T	TR035-Ia	2.3	179.0	55.6	0	0	0.0	0.0	18	873.0	5.27e-09	This study	hargrave 2017-11-17 14:51:00	LT-T-Z:LP-DIR-T	g	660	u	8	273			pmagpy-3.16.0	1.27e-10	1.76e-10	1.83e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T19	TR035-Ia:LP-DIR-T	TR035-Ia	65.5	181.5	0.4	0	0	0.0	0.0	19	893.0	2.14e-09	This study	hargrave 2017-11-19 14:08:50	LT-T-Z:LP-DIR-T	g	661	u	8	273			pmagpy-3.16.0	1.55e-10	2.05e-10	4.82e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T20	TR035-Ia:LP-DIR-T	TR035-Ia	2.6	184.9	64.5	0	0	0.0	0.0	20	893.0	4.74e-09	This study	hargrave 2017-11-19 16:03:36	LT-T-Z:LP-DIR-T	g	662	u	8	273			pmagpy-3.16.0	1.26e-10	1.49e-10	2.35e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T21	TR035-Ia:LP-DIR-T	TR035-Ia	2.9	172.0	65.2	0	0	0.0	0.0	21	903.0	4.63e-09	This study	hargrave 2017-11-21 13:22:38	LT-T-Z:LP-DIR-T	g	663	u	8	273			pmagpy-3.16.0	1.6299999999999998e-10	1.72e-10	2.9100000000000003e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T22	TR035-Ia:LP-DIR-T	TR035-Ia	3.4	198.9	56.8	0	0	0.0	0.0	22	913.0	5.81e-09	This study	hargrave 2017-11-27 12:39:50	LT-T-Z:LP-DIR-T	g	664	u	8	273			pmagpy-3.16.0	2.4400000000000004e-10	1.98e-10	5.81e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T23	TR035-Ia:LP-DIR-T	TR035-Ia	4.3	161.1	24.6	0	0	0.0	0.0	23	918.0	8.84e-09	This study	hargrave 2017-11-28 11:34:17	LT-T-Z:LP-DIR-T	g	665	u	8	273			pmagpy-3.16.0	4.83e-10	2e-10	7.84e-10	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T24	TR035-Ia:LP-DIR-T	TR035-Ia	4.9	214.0	17.0	0	0	0.0	0.0	24	923.0	1.31e-08	This study	hargrave 2017-12-08 17:18:50	LT-T-Z:LP-DIR-T	g	666	u	8	273			pmagpy-3.16.0	4.73e-10	3.19e-10	1.2e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T25	TR035-Ia:LP-DIR-T	TR035-Ia	5.2	141.2	23.3	0	0	0.0	0.0	25	928.0	1.34e-08	This study	hargrave 2017-12-11 18:00:52	LT-T-Z:LP-DIR-T	g	667	u	8	273			pmagpy-3.16.0	5.899999999999999e-10	3.17e-10	1.3800000000000002e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T26	TR035-Ia:LP-DIR-T	TR035-Ia	5.1	242.4	13.9	0	0	0.0	0.0	26	933.0	1.6799999999999998e-08	This study	hargrave 2017-12-12 18:38:48	LT-T-Z:LP-DIR-T	g	668	u	8	273			pmagpy-3.16.0	7.580000000000001e-10	3.9e-10	1.49e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T27	TR035-Ia:LP-DIR-T	TR035-Ia	4.3	175.9	14.1	0	0	0.0	0.0	27	938.0	2.26e-08	This study	hargrave 2018-01-08 17:14:30	LT-T-Z:LP-DIR-T	g	669	u	8	273			pmagpy-3.16.0	7.37e-10	9.08e-10	1.62e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T28	TR035-Ia:LP-DIR-T	TR035-Ia	6.8	249.8	7.6	0	0	0.0	0.0	28	943.0	2.02e-08	This study	hargrave 2018-01-11 09:17:25	LT-T-Z:LP-DIR-T	g	670	u	8	273			pmagpy-3.16.0	1.7300000000000004e-09	3.58e-10	1.77e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T29	TR035-Ia:LP-DIR-T	TR035-Ia	5.0	221.4	4.2	0	0	0.0	0.0	29	945.0	2.55e-08	This study	hargrave 2018-01-12 09:14:50	LT-T-Z:LP-DIR-T	g	671	u	8	273			pmagpy-3.16.0	1.7800000000000005e-09	6.27e-10	1.95e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T30	TR035-Ia:LP-DIR-T	TR035-Ia	5.2	129.9	13.2	0	0	0.0	0.0	30	947.0	2.54e-08	This study	hargrave 2018-01-16 16:23:41	LT-T-Z:LP-DIR-T	g	672	u	8	273			pmagpy-3.16.0	1.24e-09	8.609999999999998e-10	1.92e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T31	TR035-Ia:LP-DIR-T	TR035-Ia	4.8	208.2	-4.3	0	0	0.0	0.0	31	949.0	2.9500000000000006e-08	This study	hargrave 2018-01-17 16:20:32	LT-T-Z:LP-DIR-T	g	673	u	8	273			pmagpy-3.16.0	1.47e-09	1e-09	2.0100000000000003e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T32	TR035-Ia:LP-DIR-T	TR035-Ia	4.5	183.7	3.1	0	0	0.0	0.0	32	951.0	3.44e-08	This study	hargrave 2018-01-24 13:23:21	LT-T-Z:LP-DIR-T	g	674	u	8	273			pmagpy-3.16.0	8.92e-10	1.88e-09	1.95e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T33	TR035-Ia:LP-DIR-T	TR035-Ia	3.2	167.2	-0.7	0	0	0.0	0.0	33	953.0	3.65e-08	This study	hargrave 2018-01-27 09:59:04	LT-T-Z:LP-DIR-T	g	675	u	8	273			pmagpy-3.16.0	2.09e-09	1.06e-09	1.84e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T34	TR035-Ia:LP-DIR-T	TR035-Ia	5.1	264.0	6.3	0	0	0.0	0.0	34	955.0	2.78e-08	This study	hargrave 2018-01-31 17:37:17	LT-T-Z:LP-DIR-T	g	676	u	8	273			pmagpy-3.16.0	1.1e-09	5.249999999999999e-10	2.19e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T35	TR035-Ia:LP-DIR-T	TR035-Ia	2.9	169.1	1.1	0	0	0.0	0.0	35	957.0	3.83e-08	This study	hargrave 2018-02-05 20:06:13	LT-T-Z:LP-DIR-T	g	677	u	8	273			pmagpy-3.16.0	1.27e-09	1.13e-09	1.7e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T36	TR035-Ia:LP-DIR-T	TR035-Ia	5.1	202.9	0.5	0	0	0.0	0.0	36	959.0	3.4500000000000005e-08	This study	hargrave 2018-02-12 10:59:30	LT-T-Z:LP-DIR-T	g	678	u	8	273			pmagpy-3.16.0	6.21e-10	9.37e-10	2.9e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T37	TR035-Ia:LP-DIR-T	TR035-Ia	3.3	196.2	-3.9	0	0	0.0	0.0	37	961.0	3.46e-08	This study	hargrave 2018-02-26 11:24:00	LT-T-Z:LP-DIR-T	g	679	u	8	273			pmagpy-3.16.0	7.42e-10	6.89e-10	1.89e-09	TR035-I	TR035	Luoman2
TR035-Ia:LP-DIR-T38	TR035-Ia:LP-DIR-T	TR035-Ia	7.5	223.0	0.6	0	0	0.0	0.0	38	963.0	2.94e-08	This study	hargrave 2018-02-28 12:01:38	LT-T-Z:LP-DIR-T	g	680	u	8	273			pmagpy-3.16.0	8.599999999999998e-10	1e-09	3.7e-09	TR035-I	TR035	Luoman2
TR035-JJa:LP-DIR-T1	TR035-JJa:LP-DIR-T	TR035-JJa	4.8	195.9	25.3	0	0	0.0	0.0	1	273.0	3.48e-08	This study	hargrave 2017-10-13 20:22:55	LT-NO:LP-DIR-T	g	681	u	8	273			pmagpy-3.16.0	8.740000000000002e-10	2.7600000000000004e-09	6.33e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T2	TR035-JJa:LP-DIR-T	TR035-JJa	3.5	194.6	25.3	0	0	0.0	0.0	2	373.0	3.43e-08	This study	hargrave 2017-10-15 20:20:17	LT-T-Z:LP-DIR-T	g	682	u	8	273			pmagpy-3.16.0	7.41e-10	1.98e-09	6.59e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T3	TR035-JJa:LP-DIR-T	TR035-JJa	3.0	191.7	24.9	0	0	0.0	0.0	3	473.0	3.4e-08	This study	hargrave 2017-10-16 14:29:40	LT-T-Z:LP-DIR-T	g	683	u	8	273			pmagpy-3.16.0	5.69e-10	1.59e-09	6.33e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T4	TR035-JJa:LP-DIR-T	TR035-JJa	2.5	191.0	25.1	0	0	0.0	0.0	4	573.0	3.38e-08	This study	hargrave 2017-10-17 11:19:12	LT-T-Z:LP-DIR-T	g	684	u	8	273			pmagpy-3.16.0	5.800000000000001e-10	1.25e-09	6e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T5	TR035-JJa:LP-DIR-T	TR035-JJa	2.1	189.8	25.1	0	0	0.0	0.0	5	623.0	3.35e-08	This study	hargrave 2017-10-18 09:25:57	LT-T-Z:LP-DIR-T	g	685	u	8	273			pmagpy-3.16.0	5.86e-10	9.75e-10	5.44e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T6	TR035-JJa:LP-DIR-T	TR035-JJa	1.8	192.7	25.2	0	0	0.0	0.0	6	673.0	3.31e-08	This study	hargrave 2017-10-20 17:02:09	LT-T-Z:LP-DIR-T	g	686	u	8	273			pmagpy-3.16.0	4.4000000000000003e-10	7.83e-10	5.63e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T7	TR035-JJa:LP-DIR-T	TR035-JJa	2.4	191.7	25.0	0	0	0.0	0.0	7	723.0	3.28e-08	This study	hargrave 2017-10-23 11:40:21	LT-T-Z:LP-DIR-T	g	687	u	8	273			pmagpy-3.16.0	4.44e-10	1.23e-09	5.52e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T8	TR035-JJa:LP-DIR-T	TR035-JJa	2.2	187.7	25.2	0	0	0.0	0.0	8	748.0	3.24e-08	This study	hargrave 2017-10-24 09:05:42	LT-T-Z:LP-DIR-T	g	688	u	8	273			pmagpy-3.16.0	5.200000000000001e-10	1.12e-09	4.16e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T9	TR035-JJa:LP-DIR-T	TR035-JJa	2.1	188.8	25.1	0	0	0.0	0.0	9	773.0	3.2e-08	This study	hargrave 2017-10-25 08:44:04	LT-T-Z:LP-DIR-T	g	689	u	8	273			pmagpy-3.16.0	4.76e-10	1.04e-09	4.68e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T10	TR035-JJa:LP-DIR-T	TR035-JJa	1.5	190.3	25.3	0	0	0.0	0.0	10	798.0	3.17e-08	This study	hargrave 2017-10-26 19:12:56	LT-T-Z:LP-DIR-T	g	690	u	8	273			pmagpy-3.16.0	3.85e-10	5.69e-10	4.75e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T11	TR035-JJa:LP-DIR-T	TR035-JJa	3.6	189.5	25.1	0	0	0.0	0.0	11	823.0	3.13e-08	This study	hargrave 2017-10-27 17:07:29	LT-T-Z:LP-DIR-T	g	691	u	8	273			pmagpy-3.16.0	5.97e-10	1.82e-09	5.06e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T12	TR035-JJa:LP-DIR-T	TR035-JJa	5.7	192.9	25.4	0	0	0.0	0.0	12	828.0	3.06e-08	This study	hargrave 2017-10-28 19:35:08	LT-T-Z:LP-DIR-T	g	692	u	8	273			pmagpy-3.16.0	1.18e-09	2.79e-09	5.75e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T13	TR035-JJa:LP-DIR-T	TR035-JJa	5.0	188.4	24.7	0	0	0.0	0.0	13	833.0	3.01e-08	This study	hargrave 2017-11-03 15:17:32	LT-T-Z:LP-DIR-T	g	693	u	8	273			pmagpy-3.16.0	6.38e-10	2.46e-09	7.649999999999999e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T14	TR035-JJa:LP-DIR-T	TR035-JJa	4.5	188.4	25.0	0	0	0.0	0.0	14	838.0	2.98e-08	This study	hargrave 2017-11-05 14:09:37	LT-T-Z:LP-DIR-T	g	694	u	8	273			pmagpy-3.16.0	6.34e-10	2.1600000000000004e-09	7.320000000000001e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T15	TR035-JJa:LP-DIR-T	TR035-JJa	2.2	190.2	24.9	0	0	0.0	0.0	15	843.0	2.98e-08	This study	hargrave 2017-11-09 11:42:56	LT-T-Z:LP-DIR-T	g	695	u	8	273			pmagpy-3.16.0	5.18e-10	7.870000000000001e-10	7.240000000000001e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T16	TR035-JJa:LP-DIR-T	TR035-JJa	2.0	191.2	24.9	0	0	0.0	0.0	16	848.0	2.93e-08	This study	hargrave 2017-11-09 20:32:57	LT-T-Z:LP-DIR-T	g	696	u	8	273			pmagpy-3.16.0	4.93e-10	6.78e-10	6.73e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T17	TR035-JJa:LP-DIR-T	TR035-JJa	2.9	188.2	24.7	0	0	0.0	0.0	17	853.0	2.92e-08	This study	hargrave 2017-11-14 16:20:08	LT-T-Z:LP-DIR-T	g	697	u	8	273			pmagpy-3.16.0	5.96e-10	1.13e-09	8.77e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T18	TR035-JJa:LP-DIR-T	TR035-JJa	6.2	189.1	25.3	0	0	0.0	0.0	18	873.0	2.94e-08	This study	hargrave 2017-11-17 15:32:55	LT-T-Z:LP-DIR-T	g	698	u	8	273			pmagpy-3.16.0	7.12e-10	3.1e-09	4.74e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T19	TR035-JJa:LP-DIR-T	TR035-JJa	5.2	190.7	24.5	0	0	0.0	0.0	19	893.0	2.83e-08	This study	hargrave 2017-11-19 14:50:51	LT-T-Z:LP-DIR-T	g	699	u	8	273			pmagpy-3.16.0	6.98e-10	2.49e-09	4.36e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T20	TR035-JJa:LP-DIR-T	TR035-JJa	2.7	188.4	25.7	0	0	0.0	0.0	20	903.0	2.78e-08	This study	hargrave 2017-11-21 14:03:38	LT-T-Z:LP-DIR-T	g	700	u	8	273			pmagpy-3.16.0	3.39e-10	1.21e-09	4.61e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T21	TR035-JJa:LP-DIR-T	TR035-JJa	2.0	187.0	25.3	0	0	0.0	0.0	21	913.0	2.72e-08	This study	hargrave 2017-11-27 13:21:20	LT-T-Z:LP-DIR-T	g	701	u	8	273			pmagpy-3.16.0	3.36e-10	7.969999999999999e-10	4.200000000000001e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T22	TR035-JJa:LP-DIR-T	TR035-JJa	1.7	188.3	26.3	0	0	0.0	0.0	22	918.0	2.69e-08	This study	hargrave 2017-11-28 12:16:06	LT-T-Z:LP-DIR-T	g	702	u	8	273			pmagpy-3.16.0	3.58e-10	6.51e-10	4.52e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T23	TR035-JJa:LP-DIR-T	TR035-JJa	1.7	185.3	23.8	0	0	0.0	0.0	23	923.0	2.65e-08	This study	hargrave 2017-12-08 17:58:48	LT-T-Z:LP-DIR-T	g	703	u	8	273			pmagpy-3.16.0	4.52e-10	4.3e-10	6.39e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T24	TR035-JJa:LP-DIR-T	TR035-JJa	1.8	183.3	27.9	0	0	0.0	0.0	24	928.0	2.71e-08	This study	hargrave 2017-12-11 18:41:32	LT-T-Z:LP-DIR-T	g	704	u	8	273			pmagpy-3.16.0	3.46e-10	8.029999999999999e-10	4.39e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T25	TR035-JJa:LP-DIR-T	TR035-JJa	3.1	188.9	23.9	0	0	0.0	0.0	25	933.0	2.58e-08	This study	hargrave 2017-12-12 19:21:08	LT-T-Z:LP-DIR-T	g	705	u	8	273			pmagpy-3.16.0	3.38e-10	1.32e-09	5.47e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T26	TR035-JJa:LP-DIR-T	TR035-JJa	2.4	185.8	27.2	0	0	0.0	0.0	26	938.0	2.7e-08	This study	hargrave 2018-01-08 17:57:08	LT-T-Z:LP-DIR-T	g	706	u	8	273			pmagpy-3.16.0	3.66e-10	9.8e-10	5.1e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T27	TR035-JJa:LP-DIR-T	TR035-JJa	2.7	181.0	22.6	0	0	0.0	0.0	27	943.0	2.39e-08	This study	hargrave 2018-01-11 10:02:31	LT-T-Z:LP-DIR-T	g	707	u	8	273			pmagpy-3.16.0	3.53e-10	6.569999999999999e-10	1e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T28	TR035-JJa:LP-DIR-T	TR035-JJa	3.8	190.2	27.1	0	0	0.0	0.0	28	945.0	2.44e-08	This study	hargrave 2018-01-12 09:58:23	LT-T-Z:LP-DIR-T	g	708	u	8	273			pmagpy-3.16.0	4.4000000000000003e-10	1.49e-09	8.54e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T29	TR035-JJa:LP-DIR-T	TR035-JJa	4.6	187.0	20.1	0	0	0.0	0.0	29	947.0	2.35e-08	This study	hargrave 2018-01-16 17:05:19	LT-T-Z:LP-DIR-T	g	709	u	8	273			pmagpy-3.16.0	3.12e-10	1.8e-09	5.74e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T30	TR035-JJa:LP-DIR-T	TR035-JJa	14.8	197.0	33.5	0	0	0.0	0.0	30	949.0	2.31e-08	This study	hargrave 2018-01-17 17:05:28	LT-T-Z:LP-DIR-T	g	710	u	8	273			pmagpy-3.16.0	1.61e-09	5.81e-09	8.93e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T31	TR035-JJa:LP-DIR-T	TR035-JJa	3.8	189.3	33.4	0	0	0.0	0.0	31	949.0	2.42e-08	This study	hargrave 2018-01-22 09:45:21	LT-T-Z:LP-DIR-T	g	711	u	8	273			pmagpy-3.16.0	5.47e-10	6.110000000000001e-10	1.6e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T32	TR035-JJa:LP-DIR-T	TR035-JJa	7.1	183.2	22.6	0	0	0.0	0.0	32	951.0	2.18e-08	This study	hargrave 2018-01-24 13:55:40	LT-T-Z:LP-DIR-T	g	712	u	8	273			pmagpy-3.16.0	2.58e-10	2.5600000000000003e-09	9.19e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T33	TR035-JJa:LP-DIR-T	TR035-JJa	3.6	175.2	22.7	0	0	0.0	0.0	33	951.0	2.2e-08	This study	hargrave 2018-01-24 15:43:18	LT-T-Z:LP-DIR-T	g	713	u	8	273			pmagpy-3.16.0	4.29e-10	7.679999999999999e-10	1.11e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T34	TR035-JJa:LP-DIR-T	TR035-JJa	2.6	183.7	33.1	0	0	0.0	0.0	34	953.0	2.07e-08	This study	hargrave 2018-01-27 10:39:47	LT-T-Z:LP-DIR-T	g	714	u	8	273			pmagpy-3.16.0	4.880000000000001e-10	8.29e-10	5.64e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T35	TR035-JJa:LP-DIR-T	TR035-JJa	5.4	183.3	20.9	0	0	0.0	0.0	35	955.0	1.74e-08	This study	hargrave 2018-01-31 18:18:55	LT-T-Z:LP-DIR-T	g	715	u	8	273			pmagpy-3.16.0	4.8e-10	1.42e-09	7.67e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T36	TR035-JJa:LP-DIR-T	TR035-JJa	3.4	196.2	33.4	0	0	0.0	0.0	36	957.0	1.75e-08	This study	hargrave 2018-02-05 20:51:43	LT-T-Z:LP-DIR-T	g	716	u	8	273			pmagpy-3.16.0	4.78e-10	6.130000000000001e-10	9.29e-10	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T37	TR035-JJa:LP-DIR-T	TR035-JJa	8.6	185.9	15.6	0	0	0.0	0.0	37	959.0	1.1100000000000002e-08	This study	hargrave 2018-02-12 11:39:33	LT-T-Z:LP-DIR-T	g	717	u	8	273			pmagpy-3.16.0	6.88e-10	1.07e-09	1.22e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T38	TR035-JJa:LP-DIR-T	TR035-JJa	11.5	184.7	16.1	0	0	0.0	0.0	38	959.0	1.1e-08	This study	hargrave 2018-02-12 15:35:18	LT-T-Z:LP-DIR-T	g	718	u	8	273			pmagpy-3.16.0	6.63e-10	1.49e-09	1.57e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T39	TR035-JJa:LP-DIR-T	TR035-JJa	10.1	182.0	15.8	0	0	0.0	0.0	39	959.0	1.09e-08	This study	hargrave 2018-02-12 18:01:30	LT-T-Z:LP-DIR-T	g	719	u	8	273			pmagpy-3.16.0	6.14e-10	1e-09	1.57e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T40	TR035-JJa:LP-DIR-T	TR035-JJa	10.1	185.4	18.5	0	0	0.0	0.0	40	959.0	1.08e-08	This study	hargrave 2018-02-13 08:24:57	LT-T-Z:LP-DIR-T	g	720	u	8	273			pmagpy-3.16.0	7.54e-10	5.65e-10	1.7e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T41	TR035-JJa:LP-DIR-T	TR035-JJa	7.5	190.0	57.2	0	0	0.0	0.0	41	961.0	7.11e-09	This study	hargrave 2018-02-26 11:57:16	LT-T-Z:LP-DIR-T	g	721	u	8	273			pmagpy-3.16.0	2.58e-10	6.06e-10	1.2e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T42	TR035-JJa:LP-DIR-T	TR035-JJa	45.0	138.7	0.5	0	0	0.0	0.0	42	963.0	2.87e-09	This study	hargrave 2018-02-28 12:41:27	LT-T-Z:LP-DIR-T	g	722	u	8	273			pmagpy-3.16.0	1.16e-09	1.54e-09	2.14e-09	TR035-JJ	TR035	Luoman2
TR035-JJa:LP-DIR-T43	TR035-JJa:LP-DIR-T	TR035-JJa	38.9	134.0	-6.5	0	0	0.0	0.0	43	963.0	3.2600000000000003e-09	This study	hargrave 2018-02-28 16:59:38	LT-T-Z:LP-DIR-T	g	723	u	8	273			pmagpy-3.16.0	1e-09	1.49e-09	1.94e-09	TR035-JJ	TR035	Luoman2
TR035-Ja:LP-DIR-T1	TR035-Ja:LP-DIR-T	TR035-Ja	3.3	222.9	4.8	0	0	0.0	0.0	1	273.0	2.69e-08	This study	hargrave 2017-10-13 19:37:55	LT-NO:LP-DIR-T	g	724	u	8	273			pmagpy-3.16.0	1.11e-09	1.11e-09	4.36e-10	TR035-J	TR035	Luoman2
TR035-Ja:LP-DIR-T2	TR035-Ja:LP-DIR-T	TR035-Ja	3.5	227.8	5.5	0	0	0.0	0.0	2	373.0	2.61e-08	This study	hargrave 2017-10-15 19:44:14	LT-T-Z:LP-DIR-T	g	725	u	8	273			pmagpy-3.16.0	1.11e-09	1.0300000000000002e-09	6.68e-10	TR035-J	TR035	Luoman2
TR035-Ja:LP-DIR-T3	TR035-Ja:LP-DIR-T	TR035-Ja	1.4	224.6	5.8	0	0	0.0	0.0	3	473.0	2.57e-08	This study	hargrave 2017-10-16 13:44:52	LT-T-Z:LP-DIR-T	g	726	u	8	273			pmagpy-3.16.0	4.02e-10	3.55e-10	5.33e-10	TR035-J	TR035	Luoman2
TR035-Ja:LP-DIR-T4	TR035-Ja:LP-DIR-T	TR035-Ja	3.5	222.6	6.1	0	0	0.0	0.0	4	573.0	2.61e-08	This study	hargrave 2017-10-17 10:37:06	LT-T-Z:LP-DIR-T	g	727	u	8	273			pmagpy-3.16.0	2.82e-09	4.66e-10	4.669999999999999e-10	TR035-J	TR035	Luoman2
TR035-Ja:LP-DIR-T5	TR035-Ja:LP-DIR-T	TR035-Ja	1.7	225.9	6.5	0	0	0.0	0.0	5	623.0	2.48e-08	This study	hargrave 2017-10-18 08:45:45	LT-T-Z:LP-DIR-T	g	728	u	8	273			pmagpy-3.16.0	4.8e-10	5e-10	4.68e-10	TR035-J	TR035	Luoman2
TR035-Ja:LP-DIR-T6	TR035-Ja:LP-DIR-T	TR035-Ja	2.0	225.3	7.2	0	0	0.0	0.0	6	673.0	2.42e-08	This study	hargrave 2017-10-20 16:24:49	LT-T-Z:LP-DIR-T	g	729	u	8	273			pmagpy-3.16.0	7.88e-10	4.72e-10	4.08e-10	TR035-J	TR035	Luoman2
